stock_name,issue_date,error_type
KODEX 배당가치,2019-05-31,not_code
KODEX IT,2017-03-28,not_code
KODEX Fn멀티팩터,2019-11-14,not_code
RISE 2차전지액티브,2022-04-08,not_code
KODEX TDF2040액티브,2022-06-30,not_code
TIGER 차이나바이오테크SOLACTIVE,2020-12-08,not_code
RISE 배터리 리사이클링,2022-11-01,not_code
KODEX 미국S&P500TR,2021-04-09,not_code
TIMEFOLIO Korea플러스배당액티브,2022-09-27,not_code
TIGER 리츠부동산인프라,2019-07-19,not_code
HANARO 200 TOP10,2021-11-24,not_code
휴온스블러썸,2017-09-28,not_code
TIGER 미국배당+3%프리미엄다우존스,2023-06-20,not_code
맘스터치,2015-08-28,not_code
코스온,2003-10-14,not_code
엠젠플러스,1997-06-26,not_code
ACE 미국30년국채액티브,2024-03-12,not_code
ACE 글로벌브랜드TOP10블룸버그,2022-06-28,not_code
KODEX K-친환경선박액티브,2022-11-15,not_code
HANARO 미국메타버스iSelect,2022-02-22,not_code
TIGER 원유선물인버스(H),2015-04-29,not_code
아이엠텍,2016-02-03,not_code
KODEX K-메타버스액티브,2021-10-13,not_code
RISE 5G테크,2020-10-29,not_code
HANARO Fn조선해운,2022-09-15,not_code
TIGER 미국배당+7%프리미엄다우존스,2023-06-20,not_code
RISE 차이나항셍테크,2020-12-16,not_code
센트럴인사이트,1990-07-10,not_code
RISE 컨택트대표,2021-06-10,not_code
KODEX 테슬라밸류체인FactSet,2023-06-08,not_code
KOSEF 독일DAX,2021-12-22,not_code
HANARO KRX기후변화솔루션,2021-10-29,not_code
KODEX TDF2050액티브,2022-06-30,not_code
TIGER 코리아테크액티브,2023-11-28,not_code
KODEX 미국부동산리츠(H),2020-05-13,not_code
TIGER 게임TOP10,2020-10-07,not_code
KODEX 코스닥150레버리지,2015-12-17,not_code
TIGER 미국나스닥100커버드콜(합성),2022-09-22,not_code
컨버즈,2009-03-17,not_code
명성티엔에스,2018-09-13,not_code
TIGER 인터넷TOP10,2020-10-07,not_code
KODEX 2차전지핵심소재10 Fn,2023-07-04,not_code
ACE 스마트하이베타,2019-04-16,not_code
KODEX Fn시스템반도체,2021-07-30,not_code
KODEX 필수소비재,2017-03-28,not_code
ACE 국고채10년,2020-10-15,not_code
HANARO 32-10 국고채액티브,2022-11-22,not_code
SOL KRX기후변화솔루션,2021-10-29,not_code
SOL 코스닥150,2023-01-31,not_code
KODEX Fn성장,2019-05-31,not_code
KOSEF 미국ETF산업STOXX,2022-04-26,not_code
KODEX Fn웹툰&드라마,2021-07-30,not_code
HANARO e커머스,2019-04-23,not_code
KODEX iShares미국인플레이션국채액티브,2023-10-19,not_code
KODEX 은선물(H),2011-07-18,not_code
HANARO 탄소효율그린뉴딜,2021-02-05,not_code
KODEX 2차전지산업,2018-09-12,not_code
TIGER 미국30년국채프리미엄액티브(H),2024-02-27,not_code
히어로즈 26-09 회사채(AA-이상)액티브,2023-08-17,not_code
HANARO 글로벌백신치료제MSCI,2022-06-08,not_code
HANARO Fn K-메타버스MZ,2021-10-13,not_code
ACE ESG액티브,2021-05-25,not_code
KODEX 코스닥150선물인버스,2016-08-10,not_code
KODEX 은행,2006-06-27,not_code
ACE 주주환원가치주액티브,2022-11-15,not_code
SOL 의료기기소부장Fn,2023-08-22,not_code
PLUS 미국S&P500,2022-05-31,not_code
KODEX Fn K-뉴딜디지털플러스,2020-11-10,not_code
오스템임플란트,2007-02-07,not_code
TIGER 퓨처모빌리티액티브,2021-05-25,not_code
KODEX 혁신기술테마액티브,2020-09-29,not_code
HANARO Fn K-반도체,2021-07-30,not_code
